1, 1, 15:05:54.645
2, 2, 15:05:54.681
3, 2, 15:05:54.695
4, 2, 15:05:54.699
5, 2, 15:05:54.713
6, 1, 15:05:54.747
7, 1, 15:05:54.751
8, 1, 15:05:54.753
9, 1, 15:05:54.767
10, 1, 15:05:54.771
11, 1, 15:05:54.778
12, 1, 15:05:54.780
13, 1, 15:05:54.790
14, 1, 15:05:54.805
15, 2, 15:05:54.813
16, 2, 15:05:54.825
17, 2, 15:05:54.835
18, 2, 15:05:54.856
19, 2, 15:05:54.869
20, 2, 15:05:54.869
21, 6, 15:05:54.885
22, 6, 15:05:54.900
23, 6, 15:05:54.917
24, 6, 15:05:54.932
25, 6, 15:05:54.935
26, 6, 15:05:54.938
27, 6, 15:05:54.957
28, 6, 15:05:54.972
29, 6, 15:05:54.985
30, 6, 15:05:54.987
31, 7, 15:05:54.990
32, 7, 15:05:55.000
33, 7, 15:05:55.010
34, 7, 15:05:55.019
35, 7, 15:05:55.023
36, 7, 15:05:55.031
37, 7, 15:05:55.039
38, 7, 15:05:55.051
39, 7, 15:05:55.055
40, 7, 15:05:55.059
41, 8, 15:05:55.061
42, 8, 15:05:55.070
43, 8, 15:05:55.087
44, 8, 15:05:55.088
45, 8, 15:05:55.092
46, 10, 15:05:55.096
47, 10, 15:05:55.100
48, 10, 15:05:55.104
49, 10, 15:05:55.115
50, 10, 15:05:55.123
51, 10, 15:05:55.131
52, 10, 15:05:55.136
53, 10, 15:05:55.146
54, 5, 15:05:55.148
55, 5, 15:05:55.153
56, 5, 15:05:55.156
57, 5, 15:05:55.161
58, 5, 15:05:55.167
59, 5, 15:05:55.168
60, 5, 15:05:55.172
61, 5, 15:05:55.181
62, 5, 15:05:55.189
63, 5, 15:05:55.192
64, 10, 15:05:55.194
65, 10, 15:05:55.204
66, 4, 15:05:55.206
67, 4, 15:05:55.239
68, 4, 15:05:55.250
69, 4, 15:05:55.252
70, 4, 15:05:55.265
71, 4, 15:05:55.266
72, 4, 15:05:55.272
73, 4, 15:05:55.272
74, 4, 15:05:55.279
75, 4, 15:05:55.291
76, 8, 15:05:55.332
77, 8, 15:05:55.389
78, 8, 15:05:55.392
79, 8, 15:05:55.395
80, 8, 15:05:55.398
81, 3, 15:05:55.408
82, 3, 15:05:55.421
83, 3, 15:05:55.424
84, 3, 15:05:55.426
85, 3, 15:05:55.426
86, 3, 15:05:55.427
87, 3, 15:05:55.428
88, 3, 15:05:55.429
89, 3, 15:05:55.430
90, 3, 15:05:55.431
91, 9, 15:05:55.432
92, 9, 15:05:55.442
93, 9, 15:05:55.446
94, 9, 15:05:55.448
95, 9, 15:05:55.449
96, 9, 15:05:55.452
97, 9, 15:05:55.453
98, 9, 15:05:55.454
99, 9, 15:05:55.454
100, 9, 15:05:55.455
